,gender,age,time,distance,year,time_seconds
153,M,33,1:13:52,15K,2016,4432
154,M,38,1:13:53,15K,2016,4433
155,M,30,1:14:03,15K,2016,4443
156,M,50,1:14:03,15K,2016,4443
157,M,43,1:14:14,15K,2016,4454
158,M,29,1:14:18,15K,2016,4458
159,M,33,1:14:21,15K,2016,4461
160,M,49,1:14:22,15K,2016,4462
161,M,32,1:14:23,15K,2016,4463
162,M,49,1:14:24,15K,2016,4464
163,F,30,1:14:31,15K,2016,4471
164,F,18,1:14:33,15K,2016,4473
165,M,41,1:14:34,15K,2016,4474
166,M,45,1:14:37,15K,2016,4477
167,M,52,1:14:44,15K,2016,4484
168,M,59,1:14:45,15K,2016,4485
169,M,38,1:14:52,15K,2016,4492
170,M,28,1:15:05,15K,2016,4505
171,M,32,1:15:07,15K,2016,4507
172,M,52,1:15:15,15K,2016,4515
173,F,34,1:15:17,15K,2016,4517
174,M,65,1:15:22,15K,2016,4522
175,M,50,1:15:25,15K,2016,4525
176,F,26,1:15:26,15K,2016,4526
177,M,33,1:15:26,15K,2016,4526
178,M,32,1:15:33,15K,2016,4533
179,M,31,1:15:33,15K,2016,4533
180,M,54,1:15:34,15K,2016,4534
181,F,26,1:15:38,15K,2016,4538
182,M,35,1:15:39,15K,2016,4539
183,M,38,1:15:40,15K,2016,4540
184,M,21,1:15:45,15K,2016,4545
185,M,34,1:15:45,15K,2016,4545
186,F,25,1:15:47,15K,2016,4547
187,M,52,1:15:51,15K,2016,4551
188,M,41,1:15:52,15K,2016,4552
189,M,55,1:15:54,15K,2016,4554
190,M,37,1:16:02,15K,2016,4562
191,F,38,1:16:03,15K,2016,4563
192,M,29,1:16:05,15K,2016,4565
193,M,37,1:16:08,15K,2016,4568
194,M,55,1:16:12,15K,2016,4572
195,M,53,1:16:17,15K,2016,4577
196,F,30,1:16:18,15K,2016,4578
197,F,45,1:16:27,15K,2016,4587
198,M,50,1:16:32,15K,2016,4592
199,M,14,1:16:40,15K,2016,4600
200,M,19,1:16:42,15K,2016,4602
201,M,48,1:16:42,15K,2016,4602
202,F,35,1:16:45,15K,2016,4605
203,F,26,1:16:46,15K,2016,4606
204,M,34,1:16:47,15K,2016,4607
205,M,60,1:16:51,15K,2016,4611
206,M,41,1:16:54,15K,2016,4614
207,M,29,1:17:00,15K,2016,4620
208,M,41,1:17:02,15K,2016,4622
209,M,31,1:17:03,15K,2016,4623
210,M,64,1:17:07,15K,2016,4627
211,M,49,1:17:09,15K,2016,4629
212,M,29,1:17:10,15K,2016,4630
213,M,56,1:17:15,15K,2016,4635
214,F,38,1:17:17,15K,2016,4637
215,M,48,1:17:20,15K,2016,4640
216,M,36,1:17:21,15K,2016,4641
217,M,36,1:17:26,15K,2016,4646
218,F,38,1:17:27,15K,2016,4647
219,M,43,1:17:28,15K,2016,4648
220,M,60,1:17:29,15K,2016,4649
221,M,48,1:17:35,15K,2016,4655
222,M,38,1:17:36,15K,2016,4656
223,M,57,1:17:41,15K,2016,4661
224,M,59,1:17:42,15K,2016,4662
225,F,26,1:17:43,15K,2016,4663
226,F,27,1:17:44,15K,2016,4664
227,M,26,1:17:45,15K,2016,4665
228,F,21,1:17:49,15K,2016,4669
229,F,39,1:17:52,15K,2016,4672
230,F,29,1:17:53,15K,2016,4673
231,M,50,1:17:56,15K,2016,4676
232,F,21,1:18:03,15K,2016,4683
233,M,55,1:18:05,15K,2016,4685
234,F,23,1:18:08,15K,2016,4688
235,M,57,1:18:08,15K,2016,4688
236,F,54,1:18:12,15K,2016,4692
237,M,27,1:18:13,15K,2016,4693
238,F,33,1:18:18,15K,2016,4698
239,M,33,1:18:19,15K,2016,4699
240,M,33,1:18:19,15K,2016,4699
241,F,26,1:18:20,15K,2016,4700
242,F,39,1:18:27,15K,2016,4707
243,F,21,1:18:32,15K,2016,4712
244,F,23,1:18:32,15K,2016,4712
245,F,49,1:18:50,15K,2016,4730
246,M,33,1:18:53,15K,2016,4733
247,M,36,1:18:55,15K,2016,4735
248,M,22,1:18:56,15K,2016,4736
249,F,29,1:18:58,15K,2016,4738
250,M,30,1:19:05,15K,2016,4745
251,M,52,1:19:08,15K,2016,4748
252,M,40,1:19:11,15K,2016,4751
253,M,42,1:19:15,15K,2016,4755
254,F,50,1:19:15,15K,2016,4755
255,M,36,1:19:16,15K,2016,4756
256,F,36,1:19:19,15K,2016,4759
257,M,36,1:19:22,15K,2016,4762
258,F,31,1:19:30,15K,2016,4770
259,M,31,1:19:33,15K,2016,4773
260,F,49,1:19:40,15K,2016,4780
261,M,49,1:19:44,15K,2016,4784
262,F,45,1:19:44,15K,2016,4784
263,M,38,1:19:45,15K,2016,4785
264,M,34,1:19:46,15K,2016,4786
265,M,60,1:19:47,15K,2016,4787
266,F,11,1:19:50,15K,2016,4790
267,M,64,1:19:51,15K,2016,4791
268,M,21,1:19:52,15K,2016,4792
269,F,50,1:20:01,15K,2016,4801
270,F,32,1:20:09,15K,2016,4809
271,F,60,1:20:14,15K,2016,4814
272,F,30,1:20:19,15K,2016,4819
273,M,38,1:20:20,15K,2016,4820
274,M,38,1:20:20,15K,2016,4820
275,F,26,1:20:22,15K,2016,4822
276,F,34,1:20:23,15K,2016,4823
277,M,61,1:20:24,15K,2016,4824
278,M,42,1:20:24,15K,2016,4824
279,M,34,1:20:27,15K,2016,4827
280,F,43,1:20:31,15K,2016,4831
281,M,30,1:20:34,15K,2016,4834
282,M,28,1:20:40,15K,2016,4840
283,M,53,1:20:46,15K,2016,4846
284,F,54,1:20:49,15K,2016,4849
285,M,51,1:20:50,15K,2016,4850
286,F,35,1:20:50,15K,2016,4850
287,M,29,1:20:54,15K,2016,4854
288,M,46,1:20:55,15K,2016,4855
289,F,44,1:20:57,15K,2016,4857
290,F,49,1:20:57,15K,2016,4857
291,F,31,1:20:57,15K,2016,4857
292,M,32,1:20:58,15K,2016,4858
293,F,57,1:20:58,15K,2016,4858
294,F,30,1:21:05,15K,2016,4865
295,M,65,1:21:05,15K,2016,4865
296,M,46,1:21:07,15K,2016,4867
297,F,34,1:21:08,15K,2016,4868
298,F,64,1:21:13,15K,2016,4873
299,F,41,1:21:20,15K,2016,4880
300,M,59,1:21:23,15K,2016,4883
301,M,27,1:21:23,15K,2016,4883
302,M,42,1:21:25,15K,2016,4885
303,M,58,1:21:26,15K,2016,4886
304,M,36,1:21:29,15K,2016,4889
305,F,43,1:21:31,15K,2016,4891
306,F,37,1:21:40,15K,2016,4900
307,M,35,1:21:43,15K,2016,4903
308,F,63,1:21:44,15K,2016,4904
309,F,41,1:21:48,15K,2016,4908
310,M,27,1:21:49,15K,2016,4909
311,M,47,1:21:49,15K,2016,4909
312,F,26,1:21:53,15K,2016,4913
313,M,44,1:21:56,15K,2016,4916
314,F,31,1:21:59,15K,2016,4919
315,F,26,1:22:05,15K,2016,4925
316,M,44,1:22:06,15K,2016,4926
317,F,34,1:22:12,15K,2016,4932
318,F,34,1:22:12,15K,2016,4932
319,F,56,1:22:13,15K,2016,4933
320,F,16,1:22:16,15K,2016,4936
321,M,36,1:22:21,15K,2016,4941
322,M,62,1:22:28,15K,2016,4948
323,M,27,1:22:28,15K,2016,4948
324,M,57,1:22:33,15K,2016,4953
325,M,44,1:22:35,15K,2016,4955
326,F,32,1:22:37,15K,2016,4957
327,F,34,1:22:40,15K,2016,4960
328,M,32,1:22:40,15K,2016,4960
329,M,31,1:22:49,15K,2016,4969
330,F,51,1:22:49,15K,2016,4969
331,F,26,1:22:50,15K,2016,4970
332,F,26,1:22:51,15K,2016,4971
333,M,27,1:22:54,15K,2016,4974
334,M,43,1:22:54,15K,2016,4974
335,M,51,1:22:55,15K,2016,4975
336,M,49,1:22:56,15K,2016,4976
337,M,26,1:22:57,15K,2016,4977
338,F,34,1:22:58,15K,2016,4978
339,F,39,1:22:59,15K,2016,4979
340,F,60,1:23:10,15K,2016,4990
341,M,39,1:23:15,15K,2016,4995
342,M,55,1:23:15,15K,2016,4995
343,M,41,1:23:22,15K,2016,5002
344,M,52,1:23:23,15K,2016,5003
345,M,33,1:23:27,15K,2016,5007
346,M,16,1:23:28,15K,2016,5008
347,M,68,1:23:29,15K,2016,5009
348,M,29,1:23:30,15K,2016,5010
349,F,36,1:23:31,15K,2016,5011
350,M,51,1:23:34,15K,2016,5014
351,M,40,1:23:38,15K,2016,5018
352,M,26,1:23:38,15K,2016,5018
353,M,47,1:23:44,15K,2016,5024
354,M,31,1:23:48,15K,2016,5028
355,F,50,1:23:50,15K,2016,5030
356,M,44,1:23:54,15K,2016,5034
357,M,47,1:23:59,15K,2016,5039
358,F,36,1:24:05,15K,2016,5045
359,F,49,1:24:08,15K,2016,5048
360,F,47,1:24:10,15K,2016,5050
361,F,49,1:24:10,15K,2016,5050
362,M,33,1:24:11,15K,2016,5051
363,F,23,1:24:11,15K,2016,5051
364,F,26,1:24:15,15K,2016,5055
365,F,26,1:24:19,15K,2016,5059
366,M,44,1:24:21,15K,2016,5061
367,M,57,1:24:24,15K,2016,5064
368,F,42,1:24:25,15K,2016,5065
369,M,42,1:24:29,15K,2016,5069
370,M,30,1:24:36,15K,2016,5076
371,M,43,1:24:37,15K,2016,5077
372,M,31,1:24:48,15K,2016,5088
373,M,34,1:24:50,15K,2016,5090
374,M,34,1:24:50,15K,2016,5090
375,M,53,1:24:51,15K,2016,5091
376,M,52,1:24:54,15K,2016,5094
377,F,45,1:24:57,15K,2016,5097
378,F,60,1:24:57,15K,2016,5097
379,M,34,1:25:03,15K,2016,5103
380,F,25,1:25:06,15K,2016,5106
381,M,28,1:25:07,15K,2016,5107
382,F,23,1:25:09,15K,2016,5109
383,F,18,1:25:09,15K,2016,5109
384,M,29,1:25:11,15K,2016,5111
385,F,35,1:25:11,15K,2016,5111
386,M,45,1:25:14,15K,2016,5114
387,F,47,1:25:15,15K,2016,5115
388,F,40,1:25:15,15K,2016,5115
389,M,32,1:25:17,15K,2016,5117
390,M,53,1:25:17,15K,2016,5117
391,M,64,1:25:18,15K,2016,5118
392,M,34,1:25:20,15K,2016,5120
393,M,54,1:25:21,15K,2016,5121
394,M,37,1:25:22,15K,2016,5122
395,M,33,1:25:23,15K,2016,5123
396,F,46,1:25:23,15K,2016,5123
397,F,52,1:25:26,15K,2016,5126
398,M,52,1:25:26,15K,2016,5126
399,F,35,1:25:27,15K,2016,5127
400,M,45,1:25:28,15K,2016,5128
401,M,49,1:25:29,15K,2016,5129
402,F,36,1:25:30,15K,2016,5130
403,F,34,1:25:30,15K,2016,5130
404,M,20,1:25:31,15K,2016,5131
405,F,47,1:25:31,15K,2016,5131
406,M,47,1:25:32,15K,2016,5132
